source,target,extraction_method,relation_type,value
nips:04,nips:17,body_extracted_regex,reference,1
nips:05,nips:19,body_extracted_regex,reference,1
nips:07,nips:04,body_extracted_regex,reference,4
nips:07,nips:44,body_extracted_regex,reference,4
nips:08,nips:27,body_extracted_regex,reference,1
nips:10,nips:01,body_extracted_regex,reference,1
nips:11,nips:01,body_extracted_regex,reference,1
nips:11,nips:09,body_extracted_regex,reference,1
nips:11,nips:13,body_extracted_regex,reference,1
nips:11,nips:17,body_extracted_regex,reference,1
nips:11,nips:42,body_extracted_regex,reference,1
nips:12,nips:01,body_extracted_regex,reference,1
nips:13,nips:01,body_extracted_regex,reference,4
nips:15,nips:04,body_extracted_regex,reference,5
nips:15,nips:19,body_extracted_regex,reference,1
nips:16,nips:01,body_extracted_regex,reference,1
nips:17,nips:10,body_extracted_regex,reference,1
nips:17,nips:44,body_extracted_regex,reference,2
nips:17,nips:59,body_extracted_regex,reference,2
nips:18,nips:10,body_extracted_regex,reference,1
nips:18,nips:21,body_extracted_regex,reference,1
nips:19,nips:01,body_extracted_regex,reference,2
nips:19,nips:05,body_extracted_regex,reference,1
nips:20,nips:01,body_extracted_regex,reference,1
nips:21,nips:19,body_extracted_regex,reference,1
nips:22,nips:21,body_extracted_regex,reference,2
nips:22,nips:73,body_extracted_regex,reference,1
nips:22,nips:94,body_extracted_regex,reference,2
nips:23,nips:19,body_extracted_regex,reference,1
nips:23,nips:21,body_extracted_regex,reference,1
nips:23,nips:27,body_extracted_regex,reference,1
nips:24,nips:01,body_extracted_regex,reference,1
nips:24,nips:02,body_extracted_regex,reference,1
nips:24,nips:51,body_extracted_regex,reference,1
nips:24,nips:52,body_extracted_regex,reference,1
nips:24,nips:53,body_extracted_regex,reference,1
nips:24,nips:65,body_extracted_regex,reference,1
nips:24,nips:73,body_extracted_regex,reference,1
nips:24,nips:99,body_extracted_regex,reference,1
nips:25,nips:30,body_extracted_regex,reference,2
nips:27,nips:10,body_extracted_regex,reference,1
nips:27,nips:19,body_extracted_regex,reference,1
nips:27,nips:21,body_extracted_regex,reference,2
nips:28,nips:10,body_extracted_regex,reference,3
nips:28,nips:16,body_extracted_regex,reference,1
nips:29,nips:51,body_extracted_regex,reference,1
nips:29,nips:70,body_extracted_regex,reference,1
nips:30,nips:25,body_extracted_regex,reference,1
nips:30,nips:38,body_extracted_regex,reference,1
nips:31,nips:89,body_extracted_regex,reference,1
nips:32,nips:01,body_extracted_regex,reference,1
nips:32,nips:09,body_extracted_regex,reference,1
nips:32,nips:28,body_extracted_regex,reference,2
nips:33,nips:01,body_extracted_regex,reference,1
nips:34,nips:09,body_extracted_regex,reference,1
nips:34,nips:10,body_extracted_regex,reference,4
nips:35,nips:10,body_extracted_regex,reference,1
nips:36,nips:32,body_extracted_regex,reference,1
nips:37,nips:44,body_extracted_regex,reference,2
nips:37,nips:65,body_extracted_regex,reference,1
nips:38,nips:30,body_extracted_regex,reference,1
nips:39,nips:01,body_extracted_regex,reference,1
nips:44,nips:01,body_extracted_regex,reference,5
nips:44,nips:04,body_extracted_regex,reference,1
nips:45,nips:01,body_extracted_regex,reference,1
nips:46,nips:04,body_extracted_regex,reference,4
nips:46,nips:05,body_extracted_regex,reference,3
nips:46,nips:44,body_extracted_regex,reference,13
nips:46,nips:89,body_extracted_regex,reference,4
nips:47,nips:04,body_extracted_regex,reference,2
nips:50,nips:05,body_extracted_regex,reference,1
nips:51,nips:04,body_extracted_regex,reference,2
nips:51,nips:17,body_extracted_regex,reference,2
nips:51,nips:28,body_extracted_regex,reference,1
nips:51,nips:29,body_extracted_regex,reference,2
nips:51,nips:30,body_extracted_regex,reference,2
nips:51,nips:54,body_extracted_regex,reference,2
nips:51,nips:72,body_extracted_regex,reference,1
nips:52,nips:09,body_extracted_regex,reference,1
